file_path,classification,duration_sec,num_transients,bpm
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/019 AT Hypnosis Drum - Void 137 Full.wav,Loop,7.01,41,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/086 AT Hypnosis Drum - Pattern 137 Hat.wav,Loop,7.01,16,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/186 AT Hypnosis Drum - Path 137 Strp.wav,Loop,7.01,30,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/014 AT Hypnosis Drum - Input 137 Hat.wav,Loop,7.01,32,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/038 AT Hypnosis Drum - Rider 137 Hat.wav,Loop,7.01,33,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/204 AT Hypnosis Drum - Resonator 137 Strp.wav,Loop,7.01,59,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/218 AT Hypnosis Drum - Interference 137 Hat.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/211 AT Hypnosis Drum - Tape 137 Full.wav,Loop,7.01,53,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/159 AT Hypnosis Drum - Voltage 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/173 AT Hypnosis Drum - Pierce 137 Perc.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/062 AT Hypnosis Drum - Collapse 137 Hat.wav,Loop,7.01,18,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/063 AT Hypnosis Drum - Collapse 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/163 AT Hypnosis Drum - Signal 137 Full.wav,Loop,7.01,57,136.0
